text1,text2,clean_text1,clean_text2,label,similarity_score
Containerisation using Docker allows applications to run in isolated environments.,Containerisation using Docker allows applications to run in isolated environments.,containerisation using docker allows applications run isolated environments,containerisation using docker allows applications run isolated environments,1,0.76
Mindfulness meditation has been shown to reduce symptoms of anxiety and depression.,Cruise ships carry thousands of passengers across oceans to multiple destinations.,mindfulness meditation shown reduce symptoms anxiety depression,cruise ships carry thousands passengers across oceans multiple destinations,0,0.03
The human brain contains approximately 86 billion neurons.,Fashion trends shift with seasons and are influenced by culture and celebrity.,human brain contains approximately 86 billion neurons,fashion trends shift seasons influenced culture celebrity,0,0.06
The water cycle describes the continuous movement of water through the environment.,Impressionist painters sought to capture fleeting moments of light and colour.,water cycle describes continuous movement water environment,impressionist painters sought capture fleeting moments light colour,0,0.02
Physical activity releases endorphins which improve mood and reduce anxiety.,Physical activity releases endorphins which improve mood and reduce anxiety.,physical activity releases endorphins improve mood reduce anxiety,physical activity releases endorphins improve mood reduce anxiety,1,0.76
Dark matter makes up approximately 27 percent of the universe's total mass-energy.,Current understanding holds that dark matter makes up approximately 27 percent of the universe's total mass-energy.,dark matter makes approximately 27 percent universes total massenergy,current understanding holds dark matter makes approximately 27 percent universes total massenergy,1,0.67
Type 2 diabetes is closely linked to obesity and physical inactivity.,Type 2 diabetes is closely linked to obesity and physical inactivity.,type diabetes closely linked obesity physical inactivity,type diabetes closely linked obesity physical inactivity,1,0.92
Photosynthesis is the process by which plants convert sunlight into chemical energy.,Photosynthesis is how plants convert sunlight into chemical energy.,photosynthesis process plants convert sunlight chemical energy,photosynthesis plants convert sunlight chemical energy,1,0.79
Marine protected areas help restore fish populations and ocean ecosystems.,The offside rule in football is one of the most debated rules in sport.,marine protected areas help restore fish populations ocean ecosystems,offside rule football one debated rules sport,0,0.04
The Milky Way is a barred spiral galaxy containing over 200 billion stars.,Renaissance painters developed perspective techniques to create depth on flat surfaces.,milky way barred spiral galaxy containing 200 billion stars,renaissance painters developed perspective techniques create depth flat surfaces,0,0.04
Quantitative easing involves central banks purchasing securities to inject money.,purchasing securities to inject money. Quantitative easing involves central banks,quantitative easing involves central banks purchasing securities inject money,purchasing securities inject money quantitative easing involves central banks,1,0.8
Physical activity releases endorphins which improve mood and reduce anxiety.,Physical activity releases endorphins which improve mood and reduce anxiety.,physical activity releases endorphins improve mood reduce anxiety,physical activity releases endorphins improve mood reduce anxiety,1,0.86
Computer vision allows machines to interpret and understand visual information.,Computer vision allows machines to interpret and this has significant implications for modern research.,computer vision allows machines interpret understand visual information,computer vision allows machines interpret significant implications modern research,1,0.67
Microeconomics studies individual and firm-level decision making in markets.,Microeconomics studies widely individual and firm-level decision making in markets.,microeconomics studies individual firmlevel decision making markets,microeconomics studies widely individual firmlevel decision making markets,1,0.91
The Phillips curve describes the inverse relationship between inflation and unemployment.,The Phillips curve describes the inverse as has been documented extensively in scientific literature.,phillips curve describes inverse relationship inflation unemployment,phillips curve describes inverse documented extensively scientific literature,1,0.55
Air pollution is linked to respiratory conditions and reduced life expectancy.,respiratory conditions and reduced life expectancy. Air pollution is linked to,air pollution linked respiratory conditions reduced life expectancy,respiratory conditions reduced life expectancy air pollution linked,1,0.71
The water cycle describes the continuous movement of water through the environment.,movement of water through the environment. The water cycle describes the continuous,water cycle describes continuous movement water environment,movement water environment water cycle describes continuous,1,0.77
Supply and demand determine the equilibrium price in a free market.,Supply and demand determine the equilibrium price in a free market.,supply demand determine equilibrium price free market,supply demand determine equilibrium price free market,1,0.78
Data augmentation artificially increases training data by applying transformations.,Scholars generally agree that data augmentation artificially increases training data by applying transformations.,data augmentation artificially increases training data applying transformations,scholars generally agree data augmentation artificially increases training data applying transformations,1,0.77
Viruses are not considered living organisms because they cannot replicate independently.,The Olympic Games bring together athletes from over 200 countries every four years.,viruses considered living organisms cannot replicate independently,olympic games bring together athletes 200 countries every four years,0,0.04
Higher education institutions face pressure to demonstrate graduate employment outcomes.,to demonstrate graduate employment outcomes. Higher education institutions face pressure,higher education institutions face pressure demonstrate graduate employment outcomes,demonstrate graduate employment outcomes higher education institutions face pressure,1,0.7
Neurons communicate through electrical impulses and chemical neurotransmitters.,Neurons communicate commonly through electrical impulses and chemical neurotransmitters.,neurons communicate electrical impulses chemical neurotransmitters,neurons communicate commonly electrical impulses chemical neurotransmitters,1,0.97
Mentoring programmes significantly improve retention and completion rates.,Mentoring programmes considerably improve retention and completion rates.,mentoring programmes significantly improve retention completion rates,mentoring programmes considerably improve retention completion rates,1,0.82
Transfer learning adapts a pre-trained model to a new but related task.,"According to established theory, transfer learning adapts a pre-trained model to a new but related task.",transfer learning adapts pretrained model new related task,according established theory transfer learning adapts pretrained model new related task,1,0.78
Precision and recall are evaluation metrics used to assess classification models.,Precision and recall are evaluation metrics used to assess notably classification models.,precision recall evaluation metrics used assess classification models,precision recall evaluation metrics used assess notably classification models,1,0.92
Attention mechanisms allow neural networks to focus on relevant parts of the input.,Attention mechanisms allow neural networks to which is a key concept in this domain.,attention mechanisms allow neural networks focus relevant parts input,attention mechanisms allow neural networks key concept domain,1,0.58
Formative assessment provides ongoing feedback to guide student learning.,Research indicates that formative assessment provides ongoing feedback to guide student learning.,formative assessment provides ongoing feedback guide student learning,research indicates formative assessment provides ongoing feedback guide student learning,1,0.63
Food waste contributes significantly to greenhouse gas emissions globally.,Backpacking across Southeast Asia has become popular among budget travellers.,food waste contributes significantly greenhouse gas emissions globally,backpacking across southeast asia become popular among budget travellers,0,0.05
Wildfires are becoming more frequent and intense due to climate change.,"According to established theory, wildfires are becoming more frequent and intense due to climate change.",wildfires becoming frequent intense due climate change,according established theory wildfires becoming frequent intense due climate change,1,0.74
Mahatma Gandhi led India's independence movement using non-violent civil disobedience.,Mahatma Gandhi led India's independence movement and this has significant implications for modern research.,mahatma gandhi led indias independence movement using nonviolent civil disobedience,mahatma gandhi led indias independence movement significant implications modern research,1,0.67
Zero-emission buildings use insulation and renewable energy to minimise carbon footprints.,Zero-emission buildings use insulation and renewable energy to minimise carbon footprints.,zeroemission buildings use insulation renewable energy minimise carbon footprints,zeroemission buildings use insulation renewable energy minimise carbon footprints,1,0.79
Hormones are chemical messengers that regulate various physiological processes.,Hormones are chemical messengers that regulate and this has significant implications for modern research.,hormones chemical messengers regulate various physiological processes,hormones chemical messengers regulate significant implications modern research,1,0.68
The global burden of non-communicable diseases is rising rapidly.,non-communicable diseases is rising rapidly. The global burden of,global burden noncommunicable diseases rising rapidly,noncommunicable diseases rising rapidly global burden,1,0.82
Cancer occurs when cells divide uncontrollably and form tumours.,"According to established theory, cancer occurs when cells divide uncontrollably and form tumours.",cancer occurs cells divide uncontrollably form tumours,according established theory cancer occurs cells divide uncontrollably form tumours,1,0.78
Derivatives are financial instruments whose value depends on an underlying asset.,"Carpentry requires skill in measuring, cutting, and joining wooden materials.",derivatives financial instruments whose value depends underlying asset,carpentry requires skill measuring cutting joining wooden materials,0,0.04
Neurons communicate through electrical impulses and chemical neurotransmitters.,Fashion trends shift with seasons and are influenced by culture and celebrity.,neurons communicate electrical impulses chemical neurotransmitters,fashion trends shift seasons influenced culture celebrity,0,0.08
Plate tectonics explains the movement of Earth lithospheric plates.,"Chocolate is made from cacao beans that are fermented, dried, and roasted.",plate tectonics explains movement earth lithospheric plates,chocolate made cacao beans fermented dried roasted,0,0.07
Environmental impact assessments evaluate the effects of development projects.,Fashion trends shift with seasons and are influenced by culture and celebrity.,environmental impact assessments evaluate effects development projects,fashion trends shift seasons influenced culture celebrity,0,0.07
The water cycle describes the continuous movement of water through the environment.,Heritage sites designated by UNESCO receive international protection and funding.,water cycle describes continuous movement water environment,heritage sites designated unesco receive international protection funding,0,0.06
Latency refers to the delay between a request and the corresponding response.,Latency refers to commonly the delay between a request and the corresponding response.,latency refers delay request corresponding response,latency refers commonly delay request corresponding response,1,0.97
Peer tutoring improves outcomes for both the tutor and the student being tutored.,Peer tutoring improves outcomes for both the tutor and the student being tutored.,peer tutoring improves outcomes tutor student tutored,peer tutoring improves outcomes tutor student tutored,1,0.77
Ocean acidification threatens coral reefs and marine biodiversity.,The literature confirms that ocean acidification threatens coral reefs and marine biodiversity.,ocean acidification threatens coral reefs marine biodiversity,literature confirms ocean acidification threatens coral reefs marine biodiversity,1,0.75
Regular health screenings enable early identification of chronic conditions.,Street food markets offer affordable and diverse culinary experiences globally.,regular health screenings enable early identification chronic conditions,street food markets offer affordable diverse culinary experiences globally,0,0.07
Formative assessment provides ongoing feedback to guide student learning.,Formative assessment offers ongoing feedback to guide student learning.,formative assessment provides ongoing feedback guide student learning,formative assessment offers ongoing feedback guide student learning,1,0.74
The Boston Tea Party in 1773 was a protest against British taxation in colonial America.,The Boston Tea Party in 1773 was a protest against British taxation in colonial America.,boston tea party 1773 protest british taxation colonial america,boston tea party 1773 protest british taxation colonial america,1,0.89
Central banks use open market operations to control the money supply.,Central banks use open market operations to control the money supply.,central banks use open market operations control money supply,central banks use open market operations control money supply,1,0.88
The prefrontal cortex is responsible for decision-making and impulse control.,The prefrontal cortex handles decision-making and impulse control.,prefrontal cortex responsible decisionmaking impulse control,prefrontal cortex handles decisionmaking impulse control,1,0.9
Unemployment rate measures the percentage of the labour force without a job.,Unemployment rate measures the percentage of the labour force without a job.,unemployment rate measures percentage labour force without job,unemployment rate measures percentage labour force without job,1,0.91
Foreign direct investment occurs when a company invests in business operations abroad.,Foreign direct investment happens when a company invests in business operations abroad.,foreign direct investment occurs company invests business operations abroad,foreign direct investment happens company invests business operations abroad,1,0.87
The Cold War was a geopolitical tension between the USA and Soviet Union after 1945.,between the USA and Soviet Union after 1945. The Cold War was a geopolitical tension,cold war geopolitical tension usa soviet union 1945,usa soviet union 1945 cold war geopolitical tension,1,0.65
Ocean acidification threatens coral reefs and marine biodiversity.,Ocean acidification threatens coral reefs and marine biodiversity.,ocean acidification threatens coral reefs marine biodiversity,ocean acidification threatens coral reefs marine biodiversity,1,0.89
The global burden of non-communicable diseases is rising rapidly.,The frequently global burden of non-communicable diseases is rising rapidly.,global burden noncommunicable diseases rising rapidly,frequently global burden noncommunicable diseases rising rapidly,1,0.89
The human brain contains approximately 86 billion neurons.,The library catalogues its collection using the Dewey Decimal Classification system.,human brain contains approximately 86 billion neurons,library catalogues collection using dewey decimal classification system,0,0.04
Latency refers to the delay between a request and the corresponding response.,Latency refers to the delay between a request and the frequently corresponding response.,latency refers delay request corresponding response,latency refers delay request frequently corresponding response,1,0.95
Augmented reality overlays digital information onto the real-world environment.,Augmented reality overlays digital frequently information onto the real-world environment.,augmented reality overlays digital information onto realworld environment,augmented reality overlays digital frequently information onto realworld environment,1,0.94
Cybersecurity protects computer systems and networks from digital attacks.,Cybersecurity protects computer systems and networks from digital attacks.,cybersecurity protects computer systems networks digital attacks,cybersecurity protects computer systems networks digital attacks,1,0.81
Austerity measures involve reducing government spending to reduce budget deficits.,Austerity measures involve reducing government spending to reduce budget deficits.,austerity measures involve reducing government spending reduce budget deficits,austerity measures involve reducing government spending reduce budget deficits,1,0.75
Autonomous vehicles use sensors and AI to navigate without human input.,The football team won the championship after a dramatic penalty shootout.,autonomous vehicles use sensors ai navigate without human input,football team championship dramatic penalty shootout,0,0.03
The Hundred Years War between England and France lasted from 1337 to 1453.,The Hundred Years War between England and France lasted from 1337 to 1453.,hundred years war england france lasted 1337 1453,hundred years war england france lasted 1337 1453,1,0.9
Overfitting occurs when a model learns noise in the training data rather than patterns.,Research indicates that overfitting occurs when a model learns noise in the training data rather than patterns.,overfitting occurs model learns noise training data rather patterns,research indicates overfitting occurs model learns noise training data rather patterns,1,0.98
Homeostasis is the body's ability to maintain stable internal conditions.,Homeostasis is the body's ability to maintain stable internal conditions.,homeostasis bodys ability maintain stable internal conditions,homeostasis bodys ability maintain stable internal conditions,1,0.82
The flipped classroom model asks students to study content at home and practise in class.,"Fermentation is used to produce bread, cheese, beer, and many other foods.",flipped classroom model asks students study content home practise class,fermentation used produce bread cheese beer many foods,0,0.06
Newton's third law states that every action has an equal and opposite reaction.,Newton's third law states that every action has an equal and opposite reaction.,newtons third law states every action equal opposite reaction,newtons third law states every action equal opposite reaction,1,0.89
Wildfires are becoming more frequent and intense due to climate change.,Wildfires are becoming more frequent and intense because of climate change.,wildfires becoming frequent intense due climate change,wildfires becoming frequent intense climate change,1,0.8
Precision and recall are evaluation metrics used to assess classification models.,Precision and recall are evaluation metrics used to assess classification models.,precision recall evaluation metrics used assess classification models,precision recall evaluation metrics used assess classification models,1,0.74
The placebo effect demonstrates the powerful role of the mind in healing.,Sculpture uses three-dimensional form to convey meaning and emotion.,placebo effect demonstrates powerful role mind healing,sculpture uses threedimensional form convey meaning emotion,0,0.04
Edge computing processes data closer to the source rather than in centralised servers.,the source rather than in centralised servers. Edge computing processes data closer to,edge computing processes data closer source rather centralised servers,source rather centralised servers edge computing processes data closer,1,0.68
The Ottoman Empire lasted for over six centuries until its dissolution in 1922.,Sculpture uses three-dimensional form to convey meaning and emotion.,ottoman empire lasted six centuries dissolution 1922,sculpture uses threedimensional form convey meaning emotion,0,0.07
Precision and recall are evaluation metrics used to assess classification models.,Precision and recall commonly are evaluation metrics used to assess classification models.,precision recall evaluation metrics used assess classification models,precision recall commonly evaluation metrics used assess classification models,1,0.95
Homeostasis is the body's ability to maintain stable internal conditions.,Homeostasis is the body's ability to maintain stable internal conditions.,homeostasis bodys ability maintain stable internal conditions,homeostasis bodys ability maintain stable internal conditions,1,0.88
Organ transplantation saves thousands of lives annually worldwide.,Organ transplantation saves thousands of lives annually worldwide.,organ transplantation saves thousands lives annually worldwide,organ transplantation saves thousands lives annually worldwide,1,0.81
Photosynthesis is the process by which plants convert sunlight into chemical energy.,Photosynthesis is typically the process by which plants convert sunlight into chemical energy.,photosynthesis process plants convert sunlight chemical energy,photosynthesis typically process plants convert sunlight chemical energy,1,0.91
The Phillips curve describes the inverse relationship between inflation and unemployment.,The Phillips curve describes the inverse and related phenomena have been widely observed.,phillips curve describes inverse relationship inflation unemployment,phillips curve describes inverse related phenomena widely observed,1,0.71
Standardised testing has been criticised for narrowing the curriculum.,Fashion trends shift with seasons and are influenced by culture and celebrity.,standardised testing criticised narrowing curriculum,fashion trends shift seasons influenced culture celebrity,0,0.03
Central banks use open market operations to control the money supply.,operations to control the money supply. Central banks use open market,central banks use open market operations control money supply,operations control money supply central banks use open market,1,0.71
Regular health screenings enable early identification of chronic conditions.,Regular health screenings enable early identification which is a key concept in this domain.,regular health screenings enable early identification chronic conditions,regular health screenings enable early identification key concept domain,1,0.54
Evolution occurs through natural selection acting on genetic variation.,Evolution occurs via natural selection acting on genetic variation.,evolution occurs natural selection acting genetic variation,evolution occurs via natural selection acting genetic variation,1,0.86
The suffragette movement fought for women's right to vote in the early 20th century.,Overtourism in popular destinations has raised concerns about cultural preservation.,suffragette movement fought womens right vote early 20th century,overtourism popular destinations raised concerns cultural preservation,0,0.07
Physical activity releases endorphins which improve mood and reduce anxiety.,Physical activity releases endorphins which improve mood and reduce anxiety.,physical activity releases endorphins improve mood reduce anxiety,physical activity releases endorphins improve mood reduce anxiety,1,0.75
The balance of payments records all economic transactions between countries.,Travel insurance protects against unexpected cancellations and medical emergencies.,balance payments records economic transactions countries,travel insurance protects unexpected cancellations medical emergencies,0,0.02
Ecological restoration projects aim to rebuild degraded natural habitats.,"According to established theory, ecological restoration projects aim to rebuild degraded natural habitats.",ecological restoration projects aim rebuild degraded natural habitats,according established theory ecological restoration projects aim rebuild degraded natural habitats,1,0.76
Hypertension affects approximately one in three adults worldwide.,"According to established theory, hypertension affects approximately one in three adults worldwide.",hypertension affects approximately one three adults worldwide,according established theory hypertension affects approximately one three adults worldwide,1,0.6
Cloud computing delivers computing services over the internet on a pay-as-you-go basis.,Architecture balances aesthetic design with structural and functional requirements.,cloud computing delivers computing services internet payasyougo basis,architecture balances aesthetic design structural functional requirements,0,0.01
The stock market reflects investor sentiment and expectations about future earnings.,sentiment and expectations about future earnings. The stock market reflects investor,stock market reflects investor sentiment expectations future earnings,sentiment expectations future earnings stock market reflects investor,1,0.81
The periodic table organises elements by atomic number and chemical properties.,The periodic table organises elements by widely atomic number and chemical properties.,periodic table organises elements atomic number chemical properties,periodic table organises elements widely atomic number chemical properties,1,0.93
Cybersecurity protects computer systems and networks from digital attacks.,Evidence suggests that cybersecurity protects computer systems and networks from digital attacks.,cybersecurity protects computer systems networks digital attacks,evidence suggests cybersecurity protects computer systems networks digital attacks,1,0.67
Central banks use open market operations to control the money supply.,Central banks use open market operations to control the money supply.,central banks use open market operations control money supply,central banks use open market operations control money supply,1,0.74
Bilingual education supports cognitive flexibility and academic achievement.,Amateur astronomy allows enthusiasts to observe planets and deep-sky objects.,bilingual education supports cognitive flexibility academic achievement,amateur astronomy allows enthusiasts observe planets deepsky objects,0,0.02
Formative assessment provides ongoing feedback to guide student learning.,Formative assessment offers ongoing feedback to guide student learning.,formative assessment provides ongoing feedback guide student learning,formative assessment offers ongoing feedback guide student learning,1,0.9
Geothermal energy harnesses heat from the Earth's interior for power generation.,Geothermal energy harnesses heat from the Earth's interior for power generation.,geothermal energy harnesses heat earths interior power generation,geothermal energy harnesses heat earths interior power generation,1,0.81
Biodiversity refers to the variety of life forms found within a given ecosystem.,Scholars generally agree that biodiversity refers to the variety of life forms found within a given ecosystem.,biodiversity refers variety life forms found within given ecosystem,scholars generally agree biodiversity refers variety life forms found within given ecosystem,1,0.7
Mental health is as important as physical health for overall wellbeing.,Mental health is as important as physical health for overall wellbeing.,mental health important physical health overall wellbeing,mental health important physical health overall wellbeing,1,0.82
Special educational needs require tailored support and inclusive classroom environments.,Basketball was invented by James Naismith in 1891 using a peach basket.,special educational needs require tailored support inclusive classroom environments,basketball invented james naismith 1891 using peach basket,0,0.08
The Hundred Years War between England and France lasted from 1337 to 1453.,The Hundred Years War between England and France lasted from 1337 to 1453.,hundred years war england france lasted 1337 1453,hundred years war england france lasted 1337 1453,1,0.86
Microeconomics studies individual and firm-level decision making in markets.,Microeconomics studies individual and firm-level decision making in markets.,microeconomics studies individual firmlevel decision making markets,microeconomics studies individual firmlevel decision making markets,1,0.85
Blockchain technology provides a decentralised and immutable ledger for transactions.,Blockchain technology offers a decentralised and immutable ledger for transactions.,blockchain technology provides decentralised immutable ledger transactions,blockchain technology offers decentralised immutable ledger transactions,1,0.81
Edge computing processes data closer to the source rather than in centralised servers.,The novel as a literary form emerged in Europe during the 18th century.,edge computing processes data closer source rather centralised servers,novel literary form emerged europe 18th century,0,0.02
Radioactive decay is the process by which unstable atomic nuclei lose energy.,Cricket is the most popular sport on the Indian subcontinent by viewership.,radioactive decay process unstable atomic nuclei lose energy,cricket popular sport indian subcontinent viewership,0,0.02
The speed of sound in air at 20 degrees Celsius is about 343 metres per second.,The speed of sound in air at 20 degrees Celsius is about 343 metres per second.,speed sound air 20 degrees celsius 343 metres per second,speed sound air 20 degrees celsius 343 metres per second,1,0.84
Early childhood education has long-lasting effects on cognitive development.,Early childhood education has long-lasting effects on cognitive development.,early childhood education longlasting effects cognitive development,early childhood education longlasting effects cognitive development,1,0.74
Higher education institutions face pressure to demonstrate graduate employment outcomes.,to demonstrate graduate employment outcomes. Higher education institutions face pressure,higher education institutions face pressure demonstrate graduate employment outcomes,demonstrate graduate employment outcomes higher education institutions face pressure,1,0.8
The Roman Empire fell in 476 AD when the last emperor was deposed.,Overtourism in popular destinations has raised concerns about cultural preservation.,roman empire fell 476 ad last emperor deposed,overtourism popular destinations raised concerns cultural preservation,0,0.02
Black holes are regions of spacetime where gravity is so strong that nothing can escape.,Black holes are regions of spacetime where gravity is so strong that nothing can escape.,black holes regions spacetime gravity strong nothing escape,black holes regions spacetime gravity strong nothing escape,1,0.9
Electric vehicles help reduce transport emissions when powered by clean energy.,emissions when powered by clean energy. Electric vehicles help reduce transport,electric vehicles help reduce transport emissions powered clean energy,emissions powered clean energy electric vehicles help reduce transport,1,0.69
Augmented reality overlays digital information onto the real-world environment.,information onto the real-world environment. Augmented reality overlays digital,augmented reality overlays digital information onto realworld environment,information onto realworld environment augmented reality overlays digital,1,0.75
Digital literacy has become an essential skill in the modern workforce.,The novel as a literary form emerged in Europe during the 18th century.,digital literacy become essential skill modern workforce,novel literary form emerged europe 18th century,0,0.03
Plastic pollution has contaminated oceans and freshwater systems globally.,Plastic pollution has contaminated oceans and freshwater systems globally.,plastic pollution contaminated oceans freshwater systems globally,plastic pollution contaminated oceans freshwater systems globally,1,0.91
DNA carries the genetic information of all living organisms.,information of all living organisms. DNA carries the genetic,dna carries genetic information living organisms,information living organisms dna carries genetic,1,0.82
Microeconomics studies individual and firm-level decision making in markets.,Microeconomics studies individual and firm-level decision which is a key concept in this domain.,microeconomics studies individual firmlevel decision making markets,microeconomics studies individual firmlevel decision key concept domain,1,0.56
Mentoring programmes significantly improve retention and completion rates.,"According to established theory, mentoring programmes significantly improve retention and completion rates.",mentoring programmes significantly improve retention completion rates,according established theory mentoring programmes significantly improve retention completion rates,1,0.67
The water cycle describes the continuous movement of water through the environment.,Olympic Games bring together athletes from over 200 countries every four years.,water cycle describes continuous movement water environment,olympic games bring together athletes 200 countries every four years,0,0.06
Sleep deprivation impairs cognitive function and increases risk of chronic disease.,Sleep deprivation impairs cognitive function and increases risk of chronic disease.,sleep deprivation impairs cognitive function increases risk chronic disease,sleep deprivation impairs cognitive function increases risk chronic disease,1,0.86
Evolution occurs through natural selection acting on genetic variation.,Ballet requires years of rigorous training to develop technique and artistry.,evolution occurs natural selection acting genetic variation,ballet requires years rigorous training develop technique artistry,0,0.07
The Internet of Things connects everyday devices to the internet for data exchange.,"According to established theory, the Internet of Things connects everyday devices to the internet for data exchange.",internet things connects everyday devices internet data exchange,according established theory internet things connects everyday devices internet data exchange,1,0.84
Osmosis is the movement of water across a semi-permeable membrane.,Osmosis is the movement of water across a semi-permeable membrane.,osmosis movement water across semipermeable membrane,osmosis movement water across semipermeable membrane,1,0.74
Photosynthesis is the process by which plants convert sunlight into chemical energy.,Photosynthesis is how plants convert sunlight into chemical energy.,photosynthesis process plants convert sunlight chemical energy,photosynthesis plants convert sunlight chemical energy,1,0.89
Viruses are not considered living organisms because they cannot replicate independently.,The literature confirms that viruses are not considered living organisms because they cannot replicate independently.,viruses considered living organisms cannot replicate independently,literature confirms viruses considered living organisms cannot replicate independently,1,0.74
Digital literacy has become an essential skill in the modern workforce.,Digital literacy has become an essential skill in the modern workforce.,digital literacy become essential skill modern workforce,digital literacy become essential skill modern workforce,1,0.75
