text1,text2,label,similarity_score
"Machine learning models require large amounts of training data","The garden was filled with colorful flowers in spring",0,0.01
"Blockchain ensures data integrity through cryptographic hashing","The university library added new books to its collection",0,0.03
"The Pythagorean theorem applies to right-angled triangles","The ocean liner set sail on its maiden voyage",0,0.02
"Neurons fire electrochemical signals across synaptic junctions","The hiking trail passes through dense forest and meadows",0,0.01
"The human genome project was completed in 2003","The music festival attracted thousands of fans each day",0,0.02
"Quantum mechanics describes the behavior of subatomic particles","The sculpture was carved from a single block of marble",0,0.01
"Photosynthesis occurs in the chloroplasts of plant cells","The diplomat negotiated a peace treaty between the nations",0,0.02
"Social networks enable global communication and collaboration","The volcano erupted after years of dormancy",0,0.01
"Climate models predict increasing frequency of extreme weather events","The dancer performed a graceful ballet at the theater",0,0.02
"The universe is estimated to be 13.8 billion years old","Fresh pasta is made with flour eggs and olive oil",0,0.01
"Neural plasticity allows the brain to form new connections","The architect designed a sustainable green building downtown",0,0.02
"Cybersecurity protects computer systems from unauthorized access","The puppy learned new tricks after several training sessions",0,0.01
"The Amazon rainforest is often called the lungs of the Earth","The cyclist completed the mountain stage in record time",0,0.02
"Viruses are not considered living organisms by most biologists","The fashion designer unveiled a new collection at the show",0,0.01
"Machine learning models can overfit when trained on small datasets","The archaeologist discovered ancient pottery at the dig site",0,0.02
"The speed of sound varies with temperature and medium","The painter created a vibrant mural on the city wall",0,0.01
"Plate boundaries are zones of intense geological activity","The author published a new novel to critical acclaim",0,0.02
"Stem cells have the potential to differentiate into various cell types","The jazz band played to a full house at the club",0,0.01
"Biodiversity loss threatens ecosystem stability and resilience","The detective solved the mystery after finding hidden evidence",0,0.02
"Nuclear fusion could provide clean and virtually limitless energy","The tailor altered the suit to fit perfectly",0,0.01
"The Gulf Stream influences the climate of Western Europe","The student submitted the assignment before the deadline",0,0.02
"Epigenetics studies heritable changes that do not alter DNA sequence","The pilot landed the aircraft safely during the storm",0,0.01
"Computer algorithms solve problems through step-by-step instructions","The gardener planted tomatoes and herbs in the raised bed",0,0.02
"The placebo effect demonstrates the power of belief on health outcomes","The musician composed a symphony inspired by nature",0,0.01
"Big data analytics extracts insights from massive datasets","The carpenter built a wooden cabinet with intricate joinery",0,0.02
"The law of conservation of energy states energy cannot be created or destroyed","The photographer captured stunning images of the northern lights",0,0.01
"Genetic engineering allows modification of an organism's DNA","The swimmer broke the world record at the championships",0,0.02
"The prefrontal cortex is involved in decision-making and planning","The chef won a prestigious award for culinary excellence",0,0.01
"Tectonic plates move due to convection currents in the mantle","The journalist reported live from the site of the disaster",0,0.02
"Organic compounds contain carbon atoms bonded to other elements","The rocket launched successfully and reached orbit as planned",0,0.01
